label,"transform  {A:7.320508075688773, B:12.679491924311227}",angle,transform[0].x,transform[0].y,transform[1].x,transform[1].y,transform[2].x,transform[2].y
"Xi","((4.5)*A + (3.5)*B*√3)-((1.5)*B + (5.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,109.8076211353316,-88.75644347017858
"Delta","((6.0)*A + (3.5)*B*√3)-((1.5)*B + (5.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,120.78838324886476,-82.41669750802296
"Xi","((6.0)*A + (4.5)*B*√3)-((1.5)*B + (6.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,142.74990747593108,-95.0961894323342
"Phi","((6.0)*A + (4.5)*B*√3)-((1.5)*B + (5.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,142.74990747593108,-82.41669750802296
"Sigma","((4.5)*A + (4.5)*B*√3)-((1.5)*B + (4.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,131.76914536239792,-76.07695154586736
"Pi","((6.0)*A + (4.0)*B*√3)-((4.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,131.76914536239792,-50.7179676972449
"Lambda","((4.5)*A + (4.0)*B*√3)-((4.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,120.78838324886475,-57.05771365940052
"Gamma1","((3.0)*A + (2.5)*B*√3)-((1.5)*B + (4.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,76.86533479473212,-69.73720558371174
"Gamma2","((4.5)*A + (3.0)*B*√3)-((5.5)*A*√3)*i",-30,0.8660254037844386,-0.5,0.5,0.8660254037844386,98.82685902179843,-69.73720558371174
"Psi","((6.0)*A + (6.0)*B*√3)-((3.0)*B + (9.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,175.69219381653053,-152.15390309173472
"Delta","((7.5)*A + (6.0)*B*√3)-((3.0)*B + (8.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,186.6729559300637,-145.8141571295791
"Psi","((7.5)*A + (7.0)*B*√3)-((3.0)*B + (9.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,208.63448015713004,-158.49364905389032
"Phi","((7.5)*A + (7.0)*B*√3)-((3.0)*B + (8.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,208.63448015713004,-145.8141571295791
"Sigma","((6.0)*A + (7.0)*B*√3)-((3.0)*B + (8.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,197.65371804359688,-139.47441116742348
"Psi","((7.5)*A + (6.5)*B*√3)-((1.5)*B + (7.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,197.65371804359685,-114.11542731880103
"Phi","((6.0)*A + (6.5)*B*√3)-((1.5)*B + (8.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,186.6729559300637,-120.45517328095664
"Gamma1","((4.5)*A + (5.0)*B*√3)-((3.0)*B + (7.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,142.74990747593108,-133.13466520526788
"Gamma2","((6.0)*A + (5.5)*B*√3)-((1.5)*B + (9.0)*A*√3)*i",-30,0.8660254037844386,-0.5,0.5,0.8660254037844386,164.7114317029974,-133.13466520526788
"Psi","((3.5)*B*√3)-((4.5)*B + (7.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,76.86533479473212,-145.8141571295791
"Delta","((1.5)*A + (3.5)*B*√3)-((4.5)*B + (7.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,87.84609690826528,-152.15390309173472
"Psi","((4.0)*B*√3)-((6.0)*B + (8.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,87.84609690826527,-177.51288694035716
"Phi","((1.5)*A + (4.0)*B*√3)-((6.0)*B + (7.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,98.82685902179843,-171.17314097820156
"Sigma","((1.5)*A + (4.0)*B*√3)-((6.0)*B + (6.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,98.82685902179843,-158.49364905389032
"Pi","((3.0)*A + (4.5)*B*√3)-((4.5)*B + (7.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,120.78838324886475,-145.8141571295791
"Phi","((1.5)*A + (4.5)*B*√3)-((4.5)*B + (6.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,109.80762113533159,-139.47441116742348
"Gamma1","((1.5)*A + (3.0)*B*√3)-((3.0)*B + (5.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,76.8653347947321,-107.77568135664542
"Gamma2","((4.0)*B*√3)-((3.0)*B + (7.0)*A*√3)*i",-90,0.0,-1.0,1.0,0.0,87.84609690826527,-126.79491924311226
"Pi","((1.5)*A + (2.0)*B*√3)-((3.0)*B + (4.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,54.90381056766579,-95.0961894323342
"Delta","((1.5)*A + (2.0)*B*√3)-((3.0)*B + (3.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,54.90381056766579,-82.41669750802296
"Theta","((1.5)*A + (2.5)*B*√3)-((1.5)*B + (3.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,65.88457268119896,-63.39745962155613
"Sigma","((2.5)*B*√3)-((1.5)*B + (4.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,54.90381056766579,-69.73720558371174
"Xi","((1.5)*B*√3)-((1.5)*B + (3.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,32.94228634059947,-57.05771365940052
"Phi","((1.5)*B*√3)-((1.5)*B + (4.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,32.94228634059947,-69.73720558371174
"Gamma1","((-1.5)*A + (1.5)*B*√3)-((4.5)*B + (4.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,21.961524227066313,-114.11542731880104
"Gamma2","((1.5)*A + (1.0)*B*√3)-((3.0)*B + (4.5)*A*√3)*i",30,0.8660254037844386,0.5,-0.5,0.8660254037844386,32.94228634059948,-95.0961894323342
"Psi","((-21.0)*A + (-4.5)*B*√3)-((13.5)*B + (2.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-252.55752861126268,-196.532124826824
"Delta","((-21.0)*A + (-4.5)*B*√3)-((13.5)*B + (3.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-252.55752861126268,-209.21161675113524
"Pi","((-22.5)*A + (-5.0)*B*√3)-((15.0)*B + (2.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,-274.519052838329,-221.89110867544647
"Phi","((-21.0)*A + (-5.0)*B*√3)-((15.0)*B + (3.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-263.53829072479584,-228.23085463760208
"Sigma","((-19.5)*A + (-5.0)*B*√3)-((15.0)*B + (2.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-252.55752861126268,-221.89110867544647
"Psi","((-19.5)*A + (-4.0)*B*√3)-((15.0)*B + (3.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,-230.59600438419636,-234.57060059975768
"Phi","((-19.5)*A + (-4.0)*B*√3)-((15.0)*B + (2.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,-230.59600438419636,-221.89110867544647
"Gamma1","((-18.0)*A + (-4.0)*B*√3)-((12.0)*B + (2.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,-219.6152422706632,-177.51288694035716
"Gamma2","((-21.0)*A + (-3.5)*B*√3)-((13.5)*B + (2.0)*A*√3)*i",-150,-0.8660254037844386,-0.5,0.5,-0.8660254037844386,-230.59600438419636,-196.532124826824
"Xi","((-15.0)*A + (-4.0)*B*√3)-((9.0)*B)*i",0,1.0,0.0,0.0,1.0,-197.65371804359685,-114.11542731880104
"Delta","((-16.5)*A + (-4.0)*B*√3)-((9.0)*B + (0.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,-208.63448015713,-120.45517328095666
