label,"transform  {A:7.320508075688773, B:12.679491924311227}",angle,transform[0].x,transform[0].y,transform[1].x,transform[1].y,transform[2].x,transform[2].y
"Pi","((28.5)*A + (22.0)*B*√3)-((3.0)*B + (24.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,691.7880131525891,-348.6860279185587
"Delta","((27.0)*A + (22.0)*B*√3)-((3.0)*B + (24.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,680.8072510390559,-342.3462819564031
"Theta","((27.0)*A + (21.5)*B*√3)-((1.5)*B + (24.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,669.8264889255227,-323.3270440699363
"Sigma","((27.0)*A + (21.5)*B*√3)-((1.5)*B + (25.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,669.8264889255227,-336.0065359942475
"Xi","((25.5)*A + (21.0)*B*√3)-((3.0)*B + (24.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,647.8649646984563,-348.6860279185587
"Phi","((27.0)*A + (21.0)*B*√3)-((3.0)*B + (25.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,658.8457268119895,-355.0257738807143
"Gamma1","((27.0)*A + (22.5)*B*√3)-((4.5)*B + (26.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,691.788013152589,-386.7245036914924
"Gamma2","((28.5)*A + (21.5)*B*√3)-((4.5)*B + (24.5)*A*√3)*i",90,0.0,1.0,-1.0,0.0,680.8072510390558,-367.70526580502553
"Psi","((82.5)*A + (23.0)*B*√3)+((48.0)*B + (-2.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1109.056973466849,576.9168825561608
"Delta","((81.0)*A + (23.0)*B*√3)+((48.0)*B + (-2.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,1098.076211353316,583.2566285183165
"Psi","((82.5)*A + (22.5)*B*√3)+((49.5)*B + (-1.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1098.076211353316,608.6156123669389
"Phi","((81.0)*A + (22.5)*B*√3)+((49.5)*B + (-2.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1087.0954492397827,602.2758664047833
"Sigma","((81.0)*A + (22.5)*B*√3)+((49.5)*B + (-3.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,1087.0954492397827,589.596374480472
"Psi","((79.5)*A + (22.0)*B*√3)+((48.0)*B + (-2.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,1065.1339250127166,576.9168825561608
"Phi","((81.0)*A + (22.0)*B*√3)+((48.0)*B + (-3.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1076.1146871262497,570.5771365940052
"Gamma1","((81.0)*A + (23.5)*B*√3)+((46.5)*B + (-4.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1109.0569734668493,538.8784067832271
"Gamma2","((82.5)*A + (22.5)*B*√3)+((46.5)*B + (-2.5)*A*√3)*i",90,0.0,1.0,-1.0,0.0,1098.076211353316,557.8976446696939
"Xi","((82.5)*A + (25.0)*B*√3)+((45.0)*B + (-6.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1152.980021920982,488.16043908598226
"Delta","((82.5)*A + (25.0)*B*√3)+((45.0)*B + (-5.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1152.980021920982,500.83993101029347
"Xi","((84.0)*A + (25.5)*B*√3)+((46.5)*B + (-6.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1174.941546148048,513.5194229346047
"Phi","((82.5)*A + (25.5)*B*√3)+((46.5)*B + (-5.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1163.9607840345147,519.8591688967603
"Sigma","((81.0)*A + (25.5)*B*√3)+((46.5)*B + (-6.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1152.9800219209817,513.5194229346047
"Pi","((81.0)*A + (24.5)*B*√3)+((46.5)*B + (-5.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1131.0184976939154,526.1989148589159
"Phi","((81.0)*A + (24.5)*B*√3)+((46.5)*B + (-6.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,1131.0184976939154,513.5194229346047
"Gamma1","((79.5)*A + (24.5)*B*√3)+((43.5)*B + (-6.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1120.0377355803823,469.1412011995154
"Gamma2","((82.5)*A + (24.0)*B*√3)+((45.0)*B + (-6.5)*A*√3)*i",30,0.8660254037844386,0.5,-0.5,0.8660254037844386,1131.0184976939154,488.16043908598226
"Psi","((88.5)*A + (27.0)*B*√3)+((48.0)*B + (-7.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1240.826118829247,513.5194229346047
"Delta","((88.5)*A + (27.0)*B*√3)+((48.0)*B + (-6.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1240.826118829247,526.1989148589159
"Psi","((90.0)*A + (27.5)*B*√3)+((49.5)*B + (-7.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1262.7876430563133,538.8784067832271
"Phi","((88.5)*A + (27.5)*B*√3)+((49.5)*B + (-6.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1251.80688094278,545.2181527453828
"Sigma","((87.0)*A + (27.5)*B*√3)+((49.5)*B + (-7.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1240.826118829247,538.8784067832271
"Psi","((87.0)*A + (26.5)*B*√3)+((49.5)*B + (-6.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1218.8645946021807,551.5578987075384
"Phi","((87.0)*A + (26.5)*B*√3)+((49.5)*B + (-7.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,1218.8645946021807,538.8784067832271
"Gamma1","((85.5)*A + (26.5)*B*√3)+((46.5)*B + (-7.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1207.8838324886476,494.50018504813784
"Gamma2","((88.5)*A + (26.0)*B*√3)+((48.0)*B + (-7.5)*A*√3)*i",30,0.8660254037844386,0.5,-0.5,0.8660254037844386,1218.8645946021807,513.5194229346047
"Psi","((82.5)*A + (26.5)*B*√3)+((43.5)*B + (-9.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1185.9223082615813,431.10272542658174
"Delta","((84.0)*A + (26.5)*B*√3)+((43.5)*B + (-9.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1196.9030703751146,437.4424713887373
"Psi","((84.0)*A + (27.5)*B*√3)+((43.5)*B + (-10.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1218.8645946021807,424.7629794644261
"Phi","((84.0)*A + (27.5)*B*√3)+((43.5)*B + (-9.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1218.8645946021807,437.4424713887373
"Sigma","((82.5)*A + (27.5)*B*√3)+((43.5)*B + (-8.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1207.8838324886474,443.78221735089295
"Pi","((84.0)*A + (27.0)*B*√3)+((45.0)*B + (-8.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,1207.8838324886474,469.1412011995154
"Phi","((82.5)*A + (27.0)*B*√3)+((45.0)*B + (-8.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1196.9030703751143,462.8014552373598
"Gamma1","((81.0)*A + (25.5)*B*√3)+((43.5)*B + (-8.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1152.9800219209817,450.1219633130486
"Gamma2","((82.5)*A + (26.0)*B*√3)+((45.0)*B + (-9.5)*A*√3)*i",-30,0.8660254037844386,-0.5,0.5,0.8660254037844386,1174.941546148048,450.1219633130486
"Xi","((76.5)*A + (24.0)*B*√3)+((42.0)*B + (-7.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,1087.0954492397827,437.4424713887373
"Delta","((78.0)*A + (24.0)*B*√3)+((42.0)*B + (-8.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1098.076211353316,431.10272542658174
"Xi","((76.5)*A + (24.5)*B*√3)+((40.5)*B + (-8.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1098.076211353316,405.74374157795927
"Phi","((78.0)*A + (24.5)*B*√3)+((40.5)*B + (-8.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1109.0569734668493,412.0834875401149
"Sigma","((78.0)*A + (24.5)*B*√3)+((40.5)*B + (-7.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1109.0569734668493,424.7629794644261
"Pi","((79.5)*A + (25.0)*B*√3)+((42.0)*B + (-7.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1131.0184976939154,437.4424713887373
"Lambda","((78.0)*A + (25.0)*B*√3)+((42.0)*B + (-7.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,1120.0377355803823,443.78221735089295
"Gamma1","((78.0)*A + (23.5)*B*√3)+((43.5)*B + (-6.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1087.0954492397827,475.480947161671
"Gamma2","((76.5)*A + (24.5)*B*√3)+((43.5)*B + (-7.5)*A*√3)*i",-90,0.0,-1.0,1.0,0.0,1098.076211353316,456.46170927520416
"Psi","((72.0)*A + (24.5)*B*√3)+((37.5)*B + (-10.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,1065.1339250127166,348.68602791855875
"Delta","((73.5)*A + (24.5)*B*√3)+((37.5)*B + (-10.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1076.1146871262497,342.3462819564031
"Psi","((72.0)*A + (25.0)*B*√3)+((36.0)*B + (-11.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1076.1146871262497,316.9872981077807
"Phi","((73.5)*A + (25.0)*B*√3)+((36.0)*B + (-10.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1087.0954492397827,323.3270440699363
"Sigma","((73.5)*A + (25.0)*B*√3)+((36.0)*B + (-9.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1087.0954492397827,336.00653599424754
"Psi","((75.0)*A + (25.5)*B*√3)+((37.5)*B + (-10.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1109.056973466849,348.68602791855875
"Phi","((73.5)*A + (25.5)*B*√3)+((37.5)*B + (-9.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1098.076211353316,355.0257738807144
"Gamma1","((73.5)*A + (24.0)*B*√3)+((39.0)*B + (-8.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1065.1339250127164,386.72450369149243
"Gamma2","((72.0)*A + (25.0)*B*√3)+((39.0)*B + (-10.0)*A*√3)*i",-90,0.0,-1.0,1.0,0.0,1076.1146871262497,367.7052658050256
"Psi","((72.0)*A + (22.5)*B*√3)+((40.5)*B + (-6.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1021.2108765585838,437.4424713887373
"Delta","((72.0)*A + (22.5)*B*√3)+((40.5)*B + (-7.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,1021.2108765585838,424.7629794644261
"Psi","((70.5)*A + (22.0)*B*√3)+((39.0)*B + (-6.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,999.2493523315176,412.0834875401149
"Phi","((72.0)*A + (22.0)*B*√3)+((39.0)*B + (-7.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1010.2301144450507,405.74374157795927
"Sigma","((73.5)*A + (22.0)*B*√3)+((39.0)*B + (-6.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1021.2108765585839,412.0834875401149
"Pi","((73.5)*A + (23.0)*B*√3)+((39.0)*B + (-7.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1043.17240078565,399.40399561580364
"Phi","((73.5)*A + (23.0)*B*√3)+((39.0)*B + (-6.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1043.17240078565,412.0834875401149
"Gamma1","((75.0)*A + (23.0)*B*√3)+((42.0)*B + (-6.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1054.1531628991834,456.46170927520416
"Gamma2","((72.0)*A + (23.5)*B*√3)+((40.5)*B + (-6.0)*A*√3)*i",-150,-0.8660254037844386,-0.5,0.5,-0.8660254037844386,1043.17240078565,437.4424713887373
"Pi","((76.5)*A + (22.5)*B*√3)+((43.5)*B + (-5.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,1054.1531628991834,481.82069312382663
"Delta","((78.0)*A + (22.5)*B*√3)+((43.5)*B + (-5.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1065.1339250127164,488.1604390859822
"Theta","((78.0)*A + (23.5)*B*√3)+((43.5)*B + (-5.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1087.0954492397827,488.1604390859822
"Sigma","((76.5)*A + (23.5)*B*√3)+((43.5)*B + (-4.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1076.1146871262497,494.50018504813784
"Xi","((78.0)*A + (23.0)*B*√3)+((45.0)*B + (-4.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,1076.1146871262497,519.8591688967603
"Phi","((76.5)*A + (23.0)*B*√3)+((45.0)*B + (-4.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,1065.1339250127164,513.5194229346047
"Gamma1","((75.0)*A + (21.5)*B*√3)+((43.5)*B + (-4.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1021.2108765585838,500.83993101029347
"Gamma2","((76.5)*A + (22.0)*B*√3)+((45.0)*B + (-5.5)*A*√3)*i",-30,0.8660254037844386,-0.5,0.5,0.8660254037844386,1043.17240078565,500.83993101029347
"Psi","((69.0)*A + (14.0)*B*√3)+((48.0)*B + (7.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,812.5763964014538,697.3720558371175
"Delta","((67.5)*A + (14.0)*B*√3)+((48.0)*B + (6.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,801.5956342879206,691.0323098749618
"Pi","((67.5)*A + (13.0)*B*√3)+((48.0)*B + (7.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,779.6341100608543,703.7118017992731
"Phi","((67.5)*A + (13.0)*B*√3)+((48.0)*B + (6.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,779.6341100608543,691.0323098749618
"Sigma","((69.0)*A + (13.0)*B*√3)+((48.0)*B + (6.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,790.6148721743874,684.6925639128062
"Psi","((67.5)*A + (13.5)*B*√3)+((46.5)*B + (5.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,790.6148721743874,659.3335800641838
"Phi","((69.0)*A + (13.5)*B*√3)+((46.5)*B + (6.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,801.5956342879206,665.6733260263394
"Gamma1","((70.5)*A + (15.0)*B*√3)+((48.0)*B + (5.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,845.5186827420532,678.3528179506507
"Gamma2","((69.0)*A + (14.5)*B*√3)+((46.5)*B + (7.0)*A*√3)*i",150,-0.8660254037844386,0.5,-0.5,-0.8660254037844386,823.5571585149869,678.3528179506507
"Xi","((75.0)*A + (16.5)*B*√3)+((49.5)*B + (5.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,911.4032554232522,691.0323098749618
"Delta","((73.5)*A + (16.5)*B*√3)+((49.5)*B + (5.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,900.4224933097191,697.3720558371175
"Xi","((75.0)*A + (16.0)*B*√3)+((51.0)*B + (6.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,900.4224933097191,722.7310396857399
"Phi","((73.5)*A + (16.0)*B*√3)+((51.0)*B + (5.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,889.4417311961859,716.3912937235843
"Sigma","((73.5)*A + (16.0)*B*√3)+((51.0)*B + (4.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,889.4417311961859,703.7118017992731
"Pi","((72.0)*A + (15.5)*B*√3)+((49.5)*B + (5.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,867.4802069691196,691.0323098749618
"Phi","((73.5)*A + (15.5)*B*√3)+((49.5)*B + (4.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,878.4609690826528,684.6925639128062
"Gamma1","((73.5)*A + (17.0)*B*√3)+((48.0)*B + (3.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,911.4032554232523,652.9938341020281
"Gamma2","((75.0)*A + (16.0)*B*√3)+((48.0)*B + (5.0)*A*√3)*i",90,0.0,1.0,-1.0,0.0,900.4224933097191,672.013071988495
"Psi","((79.5)*A + (16.0)*B*√3)+((54.0)*B + (7.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,933.3647796503185,779.7887533451404
"Delta","((78.0)*A + (16.0)*B*√3)+((54.0)*B + (8.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,922.3840175367854,786.128499307296
"Pi","((79.5)*A + (15.5)*B*√3)+((55.5)*B + (8.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,922.3840175367854,811.4874831559185
"Phi","((78.0)*A + (15.5)*B*√3)+((55.5)*B + (8.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,911.4032554232523,805.1477371937629
"Sigma","((78.0)*A + (15.5)*B*√3)+((55.5)*B + (7.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,911.4032554232523,792.4682452694517
"Psi","((76.5)*A + (15.0)*B*√3)+((54.0)*B + (7.5)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,889.4417311961859,779.7887533451404
"Phi","((78.0)*A + (15.0)*B*√3)+((54.0)*B + (7.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,900.4224933097191,773.4490073829849
"Gamma1","((78.0)*A + (16.5)*B*√3)+((52.5)*B + (6.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,933.3647796503185,741.7502775722068
"Gamma2","((79.5)*A + (15.5)*B*√3)+((52.5)*B + (7.5)*A*√3)*i",90,0.0,1.0,-1.0,0.0,922.3840175367854,760.7695154586736
"Psi","((79.5)*A + (18.0)*B*√3)+((51.0)*B + (3.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,977.2878281044511,691.0323098749618
"Delta","((79.5)*A + (18.0)*B*√3)+((51.0)*B + (4.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,977.2878281044511,703.7118017992731
"Psi","((81.0)*A + (18.5)*B*√3)+((52.5)*B + (4.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,999.2493523315175,716.3912937235843
"Phi","((79.5)*A + (18.5)*B*√3)+((52.5)*B + (4.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,988.2685902179844,722.7310396857399
"Sigma","((78.0)*A + (18.5)*B*√3)+((52.5)*B + (4.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,977.2878281044511,716.3912937235843
"Pi","((78.0)*A + (17.5)*B*√3)+((52.5)*B + (5.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,955.3263038773848,729.0707856478955
"Phi","((78.0)*A + (17.5)*B*√3)+((52.5)*B + (4.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,955.3263038773848,716.3912937235843
"Gamma1","((76.5)*A + (17.5)*B*√3)+((49.5)*B + (3.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,944.3455417638518,672.013071988495
"Gamma2","((79.5)*A + (17.0)*B*√3)+((51.0)*B + (3.5)*A*√3)*i",30,0.8660254037844386,0.5,-0.5,0.8660254037844386,955.3263038773849,691.0323098749618
"Xi","((73.5)*A + (17.5)*B*√3)+((46.5)*B + (1.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,922.3840175367854,608.6156123669389
"Delta","((75.0)*A + (17.5)*B*√3)+((46.5)*B + (2.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,933.3647796503185,614.9553583290945
"Xi","((75.0)*A + (18.5)*B*√3)+((46.5)*B + (1.0)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,955.3263038773848,602.2758664047833
"Phi","((75.0)*A + (18.5)*B*√3)+((46.5)*B + (2.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,955.3263038773848,614.9553583290945
"Sigma","((73.5)*A + (18.5)*B*√3)+((46.5)*B + (2.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,944.3455417638518,621.2951042912501
"Pi","((75.0)*A + (18.0)*B*√3)+((48.0)*B + (3.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,944.3455417638518,646.6540881398726
"Lambda","((73.5)*A + (18.0)*B*√3)+((48.0)*B + (2.5)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,933.3647796503185,640.314342177717
"Gamma1","((72.0)*A + (16.5)*B*√3)+((46.5)*B + (3.0)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,889.4417311961859,627.6348502534057
"Gamma2","((73.5)*A + (17.0)*B*√3)+((48.0)*B + (1.5)*A*√3)*i",-30,0.8660254037844386,-0.5,0.5,0.8660254037844386,911.4032554232523,627.6348502534057
"Psi","((75.0)*A + (20.0)*B*√3)+((45.0)*B + (-2.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,988.2685902179844,545.2181527453828
"Delta","((76.5)*A + (20.0)*B*√3)+((45.0)*B + (-1.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,999.2493523315175,551.5578987075384
"Xi","((76.5)*A + (21.0)*B*√3)+((45.0)*B + (-2.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,1021.2108765585838,538.8784067832271
"Phi","((76.5)*A + (21.0)*B*√3)+((45.0)*B + (-1.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,1021.2108765585838,551.5578987075384
"Sigma","((75.0)*A + (21.0)*B*√3)+((45.0)*B + (-1.0)*A*√3)*i",0,1.0,0.0,0.0,1.0,1010.2301144450507,557.8976446696939
"Psi","((76.5)*A + (20.5)*B*√3)+((46.5)*B + (-0.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,1010.2301144450507,583.2566285183165
"Phi","((75.0)*A + (20.5)*B*√3)+((46.5)*B + (-1.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,999.2493523315176,576.9168825561608
"Gamma1","((73.5)*A + (19.0)*B*√3)+((45.0)*B + (-0.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,955.3263038773848,564.2373906318496
"Gamma2","((75.0)*A + (19.5)*B*√3)+((46.5)*B + (-2.0)*A*√3)*i",-30,0.8660254037844386,-0.5,0.5,0.8660254037844386,977.2878281044511,564.2373906318496
"Psi","((69.0)*A + (17.5)*B*√3)+((43.5)*B)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,889.4417311961859,551.5578987075384
"Delta","((70.5)*A + (17.5)*B*√3)+((43.5)*B + (-0.5)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,900.4224933097191,545.2181527453828
"Psi","((69.0)*A + (18.0)*B*√3)+((42.0)*B + (-1.0)*A*√3)*i",180,-1.0,0.0,0.0,-1.0,900.422493309719,519.8591688967603
"Phi","((70.5)*A + (18.0)*B*√3)+((42.0)*B + (-0.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,911.4032554232522,526.1989148589159
"Sigma","((70.5)*A + (18.0)*B*√3)+((42.0)*B + (0.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,911.4032554232522,538.8784067832271
"Pi","((72.0)*A + (18.5)*B*√3)+((43.5)*B)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,933.3647796503185,551.5578987075384
"Phi","((70.5)*A + (18.5)*B*√3)+((43.5)*B + (0.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,922.3840175367854,557.8976446696939
"Gamma1","((70.5)*A + (17.0)*B*√3)+((45.0)*B + (1.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,889.441731196186,589.596374480472
"Gamma2","((69.0)*A + (18.0)*B*√3)+((45.0)*B)*i",-90,0.0,-1.0,1.0,0.0,900.422493309719,570.5771365940052
"Pi","((70.5)*A + (16.0)*B*√3)+((45.0)*B + (2.5)*A*√3)*i",-120,-0.5,-0.8660254037844386,0.8660254037844386,-0.5,867.4802069691195,602.2758664047833
"Delta","((70.5)*A + (16.0)*B*√3)+((45.0)*B + (3.5)*A*√3)*i",-60,0.5,-0.8660254037844386,0.8660254037844386,0.5,867.4802069691195,614.9553583290945
"Theta","((70.5)*A + (16.5)*B*√3)+((46.5)*B + (3.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,878.4609690826528,633.9745962155613
"Sigma","((69.0)*A + (16.5)*B*√3)+((46.5)*B + (3.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,867.4802069691195,627.6348502534057
"Xi","((69.0)*A + (15.5)*B*√3)+((46.5)*B + (4.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,845.5186827420532,640.314342177717
"Phi","((69.0)*A + (15.5)*B*√3)+((46.5)*B + (3.0)*A*√3)*i",120,-0.5,0.8660254037844386,-0.8660254037844386,-0.5,845.5186827420532,627.6348502534057
"Gamma1","((67.5)*A + (15.5)*B*√3)+((43.5)*B + (2.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,834.5379206285202,583.2566285183165
"Gamma2","((70.5)*A + (15.0)*B*√3)+((45.0)*B + (2.5)*A*√3)*i",30,0.8660254037844386,0.5,-0.5,0.8660254037844386,845.5186827420532,602.2758664047833
"Psi","((82.5)*A + (13.5)*B*√3)+((61.5)*B + (13.5)*A*√3)*i",0,1.0,0.0,0.0,1.0,900.4224933097191,950.961894323342
"Delta","((81.0)*A + (13.5)*B*√3)+((61.5)*B + (13.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,889.4417311961859,944.6221483611864
"Psi","((81.0)*A + (12.5)*B*√3)+((61.5)*B + (14.0)*A*√3)*i",60,0.5,0.8660254037844386,-0.8660254037844386,0.5,867.4802069691196,957.3016402854976
